,Gender_Male,Gender_Other,Marital Status_Married,Marital Status_Single,Job Role_Developer,Job Role_Manager,Job Role_Sales,Department_IT,Department_Marketing,Department_Sales,Work Location_On-site,Work Location_Remote,Age,Education Level,Tenure,Salary,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Work-Life Balance,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Work_Stress,Dissatisfaction,Stagnation_Flag,Projects_Per_Year,Salary_Performance_Ratio,Commute_Burden,Overwork_Flag
6095,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,2.0,8.0,135227.0,5.0,10.0,74.0,0.0,3.0,0.86,0.0,168.0,0.0,47.0,9.6,0.07100591715976332,0.18000000000000005,1,1.1111111111111112,2.70454,0.0,0
1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,2.0,12.0,81366.0,5.0,35.0,86.0,0.0,6.0,0.51,1.0,178.0,3.0,45.0,1.0,0.1005586592178771,1.3900000000000001,1,2.6923076923076925,1.62732,13.5,0
4148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,52.0,3.0,12.0,68366.0,1.0,42.0,88.0,0.0,14.0,0.67,1.0,191.0,3.0,32.0,7.8,0.21875,0.55,1,3.230769230769231,6.8366,9.6,0
1096,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,1.0,11.0,111826.0,4.0,20.0,95.0,0.0,20.0,0.24,1.0,261.0,2.0,17.0,9.4,0.22900763358778625,0.82,1,1.6666666666666667,2.79565,3.4000000000000004,0
4286,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,1.0,3.0,46262.0,1.0,42.0,61.0,0.0,36.0,0.48,0.0,215.0,6.0,28.0,8.6,0.6666666666666666,0.66,0,10.5,4.6262,16.8,0
5521,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,11.0,43167.0,1.0,41.0,79.0,0.0,27.0,0.25,2.0,174.0,8.0,16.0,5.3,0.30857142857142855,1.22,1,3.4166666666666665,4.3167,12.8,0
8213,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,1.0,3.0,59980.0,3.0,8.0,58.0,0.0,20.0,0.52,2.0,167.0,18.0,41.0,5.1,0.23809523809523808,0.97,0,2.0,1.9993333333333334,73.8,0
6636,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,42.0,0.0,0.0,108054.0,1.0,18.0,87.0,1.0,12.0,0.56,1.0,224.0,16.0,38.0,9.8,0.16,0.45999999999999985,0,18.0,10.8054,60.800000000000004,0
1602,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,1.0,8.0,48164.0,4.0,22.0,22.0,0.0,39.0,0.2,1.0,265.0,2.0,34.0,4.5,0.4398496240601504,1.35,1,2.4444444444444446,1.2041,6.800000000000001,1
7348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,49.0,2.0,2.0,73669.0,5.0,12.0,26.0,0.0,37.0,0.22,1.0,228.0,5.0,46.0,1.7,0.48471615720524014,1.61,0,4.0,1.47338,23.0,0
2669,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,42.0,1.0,5.0,48972.0,1.0,14.0,37.0,0.0,23.0,0.26,1.0,230.0,18.0,35.0,5.2,0.2987012987012987,1.22,0,2.3333333333333335,4.8972,63.0,0
3727,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,48.0,1.0,9.0,66750.0,1.0,2.0,54.0,1.0,30.0,0.23,1.0,156.0,10.0,47.0,3.1,0.5732484076433122,1.46,0,0.2,6.675,47.0,0
2997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,14.0,132213.0,5.0,11.0,18.0,0.0,12.0,0.73,1.0,183.0,8.0,48.0,2.4,0.19565217391304346,1.03,1,0.7333333333333333,2.64426,38.400000000000006,0
6653,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,3.0,14.0,120319.0,1.0,48.0,60.0,0.0,48.0,0.01,1.0,266.0,11.0,23.0,5.2,0.5393258426966292,1.47,1,3.2,12.0319,25.3,1
2292,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,56.0,2.0,8.0,45765.0,1.0,30.0,8.0,0.0,47.0,0.94,1.0,200.0,4.0,21.0,4.2,0.7014925373134329,0.64,1,3.3333333333333335,4.5765,8.4,0
834,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,59.0,0.0,13.0,35849.0,4.0,2.0,67.0,0.0,22.0,0.43,1.0,288.0,11.0,41.0,3.1,0.22837370242214533,1.2600000000000002,1,0.14285714285714285,0.896225,45.1,0
4175,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,2.0,4.0,51875.0,3.0,37.0,96.0,0.0,45.0,0.35,0.0,217.0,16.0,21.0,9.9,0.8256880733944955,0.66,0,7.4,1.7291666666666667,33.6,0
4554,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,58.0,1.0,2.0,50377.0,2.0,21.0,70.0,0.0,18.0,0.71,2.0,188.0,11.0,35.0,6.7,0.19047619047619047,0.62,0,7.0,2.51885,38.5,0
4459,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0,14.0,87761.0,4.0,17.0,77.0,0.0,14.0,0.74,1.0,180.0,1.0,8.0,7.8,0.23204419889502761,0.48000000000000004,1,1.1333333333333333,2.194025,0.8,0
9630,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,1.0,0.0,88030.0,1.0,8.0,60.0,0.0,17.0,0.37,2.0,203.0,6.0,34.0,4.1,0.16666666666666666,1.2200000000000002,0,8.0,8.803,20.4,0
979,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45.0,1.0,5.0,146012.0,2.0,13.0,36.0,0.0,31.0,0.87,2.0,245.0,9.0,32.0,3.9,0.25203252032520324,0.74,0,2.1666666666666665,7.3006,28.8,0
9194,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1.0,0.0,64874.0,4.0,41.0,48.0,0.0,42.0,0.5,2.0,255.0,2.0,12.0,6.2,0.328125,0.88,0,41.0,1.62185,2.4000000000000004,1
5237,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,1.0,3.0,96063.0,1.0,26.0,61.0,0.0,36.0,0.69,1.0,213.0,7.0,32.0,2.3,0.5046728971962616,1.08,0,6.5,9.6063,22.4,0
1508,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0,2.0,4.0,73034.0,4.0,19.0,75.0,0.0,38.0,0.0,0.0,257.0,3.0,30.0,8.9,0.5891472868217055,1.1099999999999999,0,3.8,1.82585,9.0,1
6945,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,3.0,54721.0,1.0,29.0,22.0,0.0,22.0,0.41,2.0,195.0,11.0,42.0,2.1,0.22448979591836735,1.3800000000000001,0,7.25,5.4721,46.2,0
8498,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,9.0,104167.0,4.0,10.0,7.0,0.0,22.0,0.08,1.0,207.0,5.0,1.0,1.2,0.3173076923076923,1.8000000000000003,1,1.0,2.604175,0.5,0
9069,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,1.0,1.0,115909.0,3.0,5.0,3.0,0.0,34.0,0.59,1.0,161.0,2.0,26.0,6.5,0.6296296296296295,0.76,0,2.5,3.8636333333333335,5.2,0
8826,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,2.0,11.0,32535.0,4.0,11.0,78.0,0.0,5.0,0.76,1.0,189.0,15.0,24.0,5.7,0.07894736842105263,0.6699999999999999,1,0.9166666666666666,0.813375,36.0,0
2553,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,46691.0,4.0,32.0,73.0,0.0,33.0,0.7,2.0,261.0,15.0,25.0,9.7,0.25190839694656486,0.3300000000000001,0,32.0,1.167275,37.5,1
7218,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45.0,1.0,8.0,138161.0,2.0,14.0,2.0,0.0,36.0,0.75,1.0,295.0,7.0,27.0,1.0,0.3648648648648649,1.15,1,1.5555555555555556,6.90805,18.9,1
1735,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,1.0,10.0,121771.0,4.0,40.0,19.0,1.0,41.0,0.62,2.0,163.0,11.0,14.0,1.5,0.5,1.23,0,3.6363636363636362,3.044275,15.400000000000002,0
537,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,11.0,137697.0,4.0,1.0,9.0,0.0,41.0,1.0,0.0,160.0,7.0,23.0,1.5,1.0186335403726707,0.85,1,0.08333333333333333,3.442425,16.099999999999998,0
3322,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,3.0,5.0,35606.0,4.0,39.0,72.0,0.0,31.0,0.8,1.0,195.0,6.0,13.0,5.0,0.4744897959183674,0.7,0,6.5,0.89015,7.8,0
6532,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59.0,1.0,14.0,58902.0,1.0,29.0,26.0,0.0,4.0,0.44,2.0,270.0,11.0,5.0,1.4,0.02952029520295203,1.42,1,1.9333333333333333,5.8902,5.5,0
5039,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,54.0,0.0,3.0,112731.0,1.0,35.0,85.0,0.0,10.0,0.41,1.0,279.0,19.0,14.0,7.8,0.10714285714285714,0.81,0,8.75,11.2731,26.599999999999998,0
9717,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,45.0,0.0,13.0,94415.0,1.0,14.0,26.0,0.0,34.0,0.84,1.0,157.0,12.0,27.0,4.1,0.6455696202531646,0.7500000000000001,1,1.0,9.4415,32.4,0
2476,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,1.0,11.0,117727.0,2.0,36.0,64.0,0.0,23.0,0.96,1.0,283.0,1.0,34.0,7.7,0.24295774647887325,0.27,1,3.0,5.88635,3.4000000000000004,0
4096,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,2.0,5.0,122460.0,2.0,27.0,84.0,0.0,27.0,0.17,2.0,196.0,3.0,47.0,4.0,0.27411167512690354,1.43,0,4.5,6.123,14.1,0
2766,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.0,2.0,5.0,112731.0,5.0,39.0,18.0,0.0,46.0,0.65,1.0,233.0,9.0,48.0,7.4,0.5897435897435898,0.6099999999999999,0,6.5,2.25462,43.2,0
9061,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,30.0,2.0,2.0,49345.0,3.0,6.0,53.0,0.0,0.0,0.88,1.0,152.0,8.0,14.0,8.0,0.0,0.32,0,2.0,1.6448333333333334,11.200000000000001,0
4032,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,1.0,11.0,66174.0,4.0,15.0,83.0,1.0,36.0,0.82,3.0,172.0,14.0,34.0,2.3,0.20809248554913296,0.9500000000000001,0,1.25,1.65435,47.599999999999994,0
4621,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,1.0,3.0,105921.0,2.0,12.0,14.0,0.0,18.0,0.41,0.0,225.0,13.0,21.0,9.0,0.3185840707964602,0.6900000000000001,0,3.0,5.29605,27.3,0
678,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,110131.0,4.0,4.0,73.0,1.0,33.0,0.14,2.0,292.0,1.0,15.0,3.2,0.22525597269624573,1.54,0,4.0,2.753275,1.5,1
5090,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,1.0,3.0,132245.0,3.0,14.0,57.0,0.0,48.0,0.16,2.0,174.0,1.0,26.0,1.4,0.5485714285714286,1.7,0,3.5,4.408166666666666,2.6,0
7229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,2.0,129514.0,4.0,19.0,17.0,0.0,30.0,0.51,1.0,202.0,12.0,8.0,3.1,0.4433497536945813,1.1800000000000002,0,6.333333333333333,3.23785,9.6,0
1198,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,1.0,12.0,112197.0,5.0,1.0,2.0,0.0,42.0,0.54,1.0,208.0,9.0,45.0,4.8,0.6028708133971292,0.98,1,0.07692307692307693,2.24394,40.5,0
2727,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50.0,2.0,6.0,104419.0,1.0,37.0,66.0,0.0,4.0,0.98,0.0,159.0,17.0,39.0,1.1,0.1,0.91,1,5.285714285714286,10.4419,66.3,0
5937,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,2.0,5.0,40951.0,4.0,19.0,40.0,0.0,49.0,0.69,0.0,268.0,10.0,15.0,8.4,0.7286245353159851,0.47000000000000003,0,3.1666666666666665,1.023775,15.0,1
2841,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,1.0,13.0,125265.0,4.0,47.0,3.0,1.0,11.0,0.42,1.0,215.0,5.0,39.0,8.6,0.15277777777777776,0.7200000000000001,0,3.357142857142857,3.131625,19.5,0
6807,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38.0,2.0,8.0,68296.0,3.0,10.0,49.0,0.0,37.0,0.42,1.0,178.0,17.0,17.0,7.7,0.6201117318435754,0.81,1,1.1111111111111112,2.2765333333333335,28.9,0
8310,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,58.0,2.0,11.0,96918.0,1.0,49.0,39.0,0.0,40.0,0.13,0.0,234.0,10.0,31.0,2.1,0.6808510638297872,1.6600000000000001,1,4.083333333333333,9.6918,31.0,0
9565,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,58.0,1.0,14.0,133276.0,1.0,22.0,44.0,0.0,29.0,0.34,2.0,244.0,13.0,22.0,8.5,0.23673469387755103,0.8099999999999999,1,1.4666666666666666,13.3276,28.6,0
3092,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,43.0,1.0,2.0,38821.0,2.0,35.0,5.0,0.0,42.0,0.65,1.0,293.0,4.0,19.0,4.6,0.42857142857142855,0.89,0,11.666666666666666,1.94105,7.6000000000000005,1
4055,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,1.0,10.0,131415.0,4.0,1.0,76.0,0.0,1.0,0.61,1.0,271.0,18.0,11.0,3.3,0.011029411764705881,1.06,1,0.09090909090909091,3.285375,19.8,0
1613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,14.0,46953.0,4.0,36.0,66.0,0.0,33.0,0.78,1.0,243.0,3.0,16.0,5.2,0.40573770491803285,0.7,1,2.4,1.173825,4.8,0
9941,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,51.0,0.0,13.0,122076.0,4.0,6.0,45.0,0.0,27.0,0.83,1.0,164.0,8.0,47.0,5.5,0.4909090909090909,0.6200000000000001,1,0.42857142857142855,3.0519,37.6,0
7691,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,0.0,12.0,130904.0,3.0,21.0,36.0,0.0,3.0,0.63,2.0,209.0,13.0,15.0,6.2,0.02857142857142857,0.75,1,1.6153846153846154,4.363466666666667,19.5,0
131,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,49.0,1.0,0.0,100665.0,2.0,48.0,75.0,0.0,26.0,0.3,1.0,290.0,3.0,41.0,7.2,0.26804123711340205,0.98,0,48.0,5.03325,12.299999999999999,0
5314,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,2.0,6.0,106308.0,3.0,46.0,12.0,0.0,5.0,0.37,1.0,150.0,7.0,13.0,9.1,0.09933774834437087,0.7200000000000001,1,6.571428571428571,3.5436,9.1,0
3158,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,136200.0,1.0,20.0,37.0,0.0,36.0,0.92,2.0,277.0,13.0,49.0,7.1,0.2589928057553957,0.37,0,10.0,13.62,63.7,1
2497,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,2.0,14.0,70017.0,4.0,14.0,31.0,0.0,41.0,0.38,1.0,167.0,13.0,23.0,3.7,0.7321428571428571,1.25,1,0.9333333333333333,1.750425,29.900000000000002,0
4263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,43.0,1.0,10.0,40278.0,1.0,33.0,7.0,0.0,47.0,0.8,0.0,216.0,9.0,15.0,8.4,0.8663594470046083,0.35999999999999993,1,3.0,4.0278,13.5,0
5376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,1.0,0.0,76659.0,4.0,43.0,62.0,0.0,19.0,0.89,0.0,192.0,18.0,31.0,3.3,0.39378238341968913,0.78,0,43.0,1.916475,55.800000000000004,0
2200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,1.0,9.0,64045.0,5.0,42.0,28.0,0.0,31.0,0.75,0.0,168.0,11.0,38.0,3.4,0.7337278106508875,0.9099999999999999,1,4.2,1.2809,41.800000000000004,0
1545,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,12.0,126253.0,4.0,9.0,11.0,0.0,47.0,0.74,1.0,183.0,9.0,16.0,1.0,0.766304347826087,1.1600000000000001,1,0.6923076923076923,3.156325,14.4,0
8643,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,1.0,13.0,143019.0,5.0,4.0,84.0,0.0,39.0,0.52,1.0,275.0,1.0,26.0,8.0,0.42391304347826086,0.6799999999999999,1,0.2857142857142857,2.86038,2.6,1
7034,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,59.0,2.0,1.0,135275.0,5.0,21.0,78.0,0.0,23.0,0.8,0.0,186.0,13.0,44.0,7.8,0.4919786096256685,0.42,0,10.5,2.7055,57.2,0
3362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,1.0,0.0,91321.0,5.0,9.0,90.0,1.0,29.0,0.22,1.0,178.0,4.0,19.0,6.3,0.4860335195530726,1.15,0,9.0,1.82642,7.6000000000000005,0
4021,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0,2.0,10.0,48947.0,2.0,22.0,14.0,0.0,5.0,0.74,1.0,164.0,0.0,40.0,6.8,0.09090909090909091,0.5800000000000001,1,2.0,2.44735,0.0,0
5197,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,39.0,2.0,8.0,144501.0,5.0,8.0,98.0,0.0,15.0,0.86,2.0,170.0,16.0,15.0,7.2,0.17543859649122806,0.42,1,0.8888888888888888,2.89002,24.0,0
2179,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,3.0,4.0,65886.0,2.0,26.0,12.0,0.0,48.0,0.42,1.0,250.0,7.0,47.0,5.3,0.5737051792828685,1.05,0,5.2,3.2943,32.9,0
1829,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.0,2.0,6.0,127277.0,1.0,28.0,6.0,0.0,19.0,0.15,1.0,171.0,0.0,26.0,5.2,0.33139534883720934,1.33,1,4.0,12.7277,0.0,0
7612,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,2.0,2.0,41961.0,5.0,43.0,55.0,0.0,35.0,0.78,1.0,152.0,3.0,25.0,5.9,0.6862745098039216,0.6299999999999999,0,14.333333333333334,0.83922,7.5,0
1516,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,2.0,102098.0,2.0,11.0,62.0,0.0,24.0,0.67,1.0,267.0,17.0,41.0,9.3,0.26865671641791045,0.3999999999999999,0,3.6666666666666665,5.1049,69.7,0
6768,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,3.0,2.0,58972.0,3.0,10.0,57.0,0.0,2.0,0.62,2.0,281.0,13.0,12.0,9.7,0.014184397163120567,0.4100000000000001,0,3.3333333333333335,1.9657333333333333,15.600000000000001,0
6088,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,1.0,3.0,106613.0,1.0,36.0,16.0,0.0,5.0,0.59,1.0,285.0,19.0,9.0,1.6,0.05244755244755245,1.25,0,9.0,10.6613,17.099999999999998,0
9006,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,0.0,6.0,86023.0,5.0,7.0,33.0,0.0,45.0,0.75,1.0,243.0,11.0,42.0,3.6,0.5532786885245902,0.89,1,1.0,1.72046,46.2,0
9381,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,36.0,1.0,1.0,74246.0,4.0,47.0,80.0,0.0,0.0,0.63,1.0,285.0,6.0,31.0,5.3,0.0,0.8400000000000001,0,23.5,1.85615,18.599999999999998,0
8825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,1.0,2.0,121545.0,2.0,0.0,28.0,0.0,10.0,0.52,0.0,215.0,11.0,40.0,1.3,0.18518518518518517,1.3499999999999999,0,0.0,6.07725,44.0,0
8705,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,2.0,5.0,31942.0,4.0,20.0,42.0,0.0,16.0,0.29,2.0,189.0,13.0,8.0,8.0,0.16842105263157894,0.9099999999999999,0,3.3333333333333335,0.79855,10.4,0
6933,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36.0,0.0,7.0,36782.0,4.0,25.0,61.0,0.0,28.0,0.07,1.0,252.0,10.0,18.0,4.8,0.3320158102766798,1.45,1,3.125,0.91955,18.0,0
